"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"32",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,8,8,10,8,10,8,8,8,10,8,8,8,8,8,8,8,8,10,8,10,8,8,8,10,8,8,8,8,8,8,8,8,10,8,8,10,8,10,8,8,8,8,10,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,10,8,8,10,8,8,10,8,8,8,8,8,8,8,8,8,8,8,10,8,8,10,8,10,10,10,8,8,8,8,8,8,8,8,8,8,10,8,10
"33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,15,14,18,20,14,15,15,13,17,14,19,17,16,16,15,14,16,16,16,16,16,13,17,15,16,14,20,16,15,18,12,17,15,16,15,16,15,17,16,13,20,16,21,19,16,15,18,17,14,16,15,16,15,14,15,16,17,15,18,16,16,19,17,16,18,17,15,15,18,16,14,15,14,12,15,17,16,17,15,15,13,16,16,19,16,15,16,17,17,13,15,22,20,16,15,15,15,18,13
"35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,17,16,19,22,18,18,17,17,19,17,21,19,18,18,17,16,18,19,18,18,18,18,19,18,18,16,21,18,17,20,17,19,17,18,17,17,16,19,17,16,21,19,22,21,19,18,19,18,17,18,17,18,18,16,18,18,19,17,19,18,18,20,20,19,19,18,17,17,20,18,17,18,17,17,17,18,18,19,17,18,17,18,18,22,18,17,18,19,18,19,17,23,22,18,17,17,18,20,18
"36",22,22,20,21,22,22,22,22,21,22,21,21,23,21,23,22,22,21,22,22,23,21,21,22,23,21,23,22,22,21,22,23,22,23,22,21,21,23,22,21,22,23,21,22,23,22,22,22,22,22,22,22,23,23,22,21,23,22,21,22,21,21,22,23,23,23,22,23,21,22,22,22,21,21,21,22,22,22,22,22,22,21,22,22,21,22,21,21,22,22,21,21,22,22,20,21,22,22,22,22,11,12,11,11,12,12,11,12,11,13,12,11,12,11,11,12,11,11,11,12,13,11,12,13,12,12,11,10,11,11,13,11,13,11,11,12,12,11,11,11,11,11,12,12,11,11,11,10,12,11,12,11,12,12,11,11,11,12,10,11,12,11,13,13,10,11,11,12,11,12,13,11,12,11,12,11,11,12,11,11,12,11,11,11,12,11,11,11,12,12,13,11,13,13,11,12,12,11,11,11
"37",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,6,8,8,8,7,8,8,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,7,8,8,8,8,8,8,12,12,8,8,8,7,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,7,7,8,7,8,6,8,8,8,8,8,8,7,8,7,8,8,12,8,8,7,8
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,6,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,12,8,8,8,8,8,8,12,12,8,8,8,12,8,13,7,8,8,8,8,8,8,8,8,8,8,8,8,8,12,8,6,8,8,8,8,8,12,8,8,6,8,11,8,8,8,8,8,8,8,8,7,8,8,12,8,8,7,8
"41",105,106,104,104,106,105,106,105,104,108,104,103,104,104,103,106,106,105,104,106,101,103,105,107,106,104,104,104,103,104,103,105,104,106,107,106,105,105,104,106,103,106,104,106,104,104,103,105,107,109,106,103,104,106,105,106,105,105,105,105,107,105,107,104,106,107,103,106,102,104,106,102,105,105,105,106,103,104,106,104,106,105,106,103,106,107,104,103,106,105,105,106,106,104,106,108,106,106,105,106,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"42",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,27,27,28,28,29,28,28,28,28,27,28,30,29,28,27,27,29,28,28,27,28,29,28,27,28,28,29,28,28,28,28,29,27,29,28,28,27,29,28,27,28,28,29,30,30,30,28,28,28,29,28,28,29,27,28,28,28,28,29,29,29,28,30,30,29,29,27,28,30,27,28,29,27,27,28,28,28,28,29,29,28,27,29,29,29,28,28,29,29,28,28,29,28,28,28,28,29,28,29
"43",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,9,11,12,12,10,13,9,12,9,13,11,12,9,10,10,12,11,9,10,9,14,11,12,12,14,12,10,10,12,12,14,13,11,11,13,11,12,10,9,11,11,14,9,13,9,11,13,14,12,11,14,9,12,13,11,13,11,10,10,13,9,14,11,11,11,12,12,12,10,14,10,10,11,12,12,14,12,14,11,11,10,11,10,13,12,12,13,10,11,9,11,13,11,10,11,12,11,14
"44",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"45",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,3,8,3,3,3,3,8,8,3,3,3,3,3,8,8,3,3,10,3,3,3,8,8,3,3,3,3,8,3,3,3,8,10,8,8,3,3,10,3,3,3,3,3,3,3,3,3,8,8,8,3,3,3,3,3,3,3,8,8,10,8,3,10,8,8,10,3,8,3,8,3,3,8,8,3,3,3,3,8,8,3,3,3,10,3,3,3,8,3,8,3,8,8,8,8,10,3,3
"46",74,89,72,73,72,90,76,88,75,77,69,72,73,74,72,90,91,90,90,75,92,89,90,75,89,72,73,87,73,88,69,72,88,73,90,73,92,73,92,73,73,75,72,90,87,86,87,88,73,77,75,91,88,74,74,75,71,75,74,77,76,89,75,89,75,91,71,72,72,74,79,88,72,88,69,92,73,88,73,85,91,74,73,74,90,91,74,74,74,89,88,91,89,73,74,74,89,72,72,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"49",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,18,19,18,18,19,17,19,18,19,18,19,19,19,18,18,18,19,18,19,19,19,19,16,19,18,17,19,19,17,19,18,19,18,18,19,19,18,19,18,18,17,16,18,19,19,19,19,18,19,17,18,19,19,18,19,18,18,19,19,17,18,16,17,19,18,19,18,18,19,18,19,19,18,16,18,17,18,19,18,19,18,16,18,18,19,19,19,18,19,16,19,18,19,17,19,19,18,18,19
"50",7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,7,7,7,7,7,7,8,7,8,7,7,7,7,8,7,7,7,7,7,7,7,7,8,8,7,7,7,7,8,7,7,8,7,8,7,7,7,7,8,8,7,7,7,8,7,7,7,7,7,7,7,7,7,8,8,7,8,8,8,8,7,8,7,8,7,7,7,7,7,7,7,8,7,7,8,8,7,8,8,7,7,7,7,23,23,23,23,22,23,23,24,24,23,22,24,24,23,23,23,23,23,24,24,24,24,25,24,24,24,24,24,23,23,22,24,24,24,23,24,24,24,24,23,24,23,24,24,23,23,23,24,22,25,24,24,25,23,24,23,24,25,25,24,24,23,24,24,23,23,24,24,24,24,24,23,24,23,23,23,24,25,25,24,24,23,24,23,23,23,24,24,24,24,23,25,23,22,24,24,24,22,24,23
"51",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,30,31,30,31,31,30,31,31,31,30,31,31,31,30,29,30,31,30,31,30,31,31,30,30,30,31,31,31,30,31,31,31,30,31,31,31,30,31,29,30,30,30,31,31,31,31,31,31,31,31,30,31,31,30,31,30,30,30,30,31,31,30,30,31,30,30,30,31,31,29,31,31,30,29,31,30,30,31,31,30,30,30,31,30,31,30,31,31,31,30,31,30,31,31,31,30,30,30,31
"52",7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,7,7,7,7,7,7,8,7,8,7,7,7,7,8,7,7,7,7,7,7,7,7,8,8,7,7,7,7,8,7,7,8,7,8,7,7,7,7,8,8,7,7,7,8,7,7,7,7,7,7,7,7,7,8,8,7,8,8,8,8,7,8,7,8,7,7,7,7,7,7,7,8,7,7,8,8,7,8,8,7,7,7,7,24,23,19,23,22,23,23,24,24,23,22,24,24,18,23,23,23,23,24,24,22,23,25,24,24,22,25,25,23,19,22,23,24,23,23,23,20,23,24,19,22,24,23,25,24,22,22,22,21,24,23,24,25,23,24,19,23,25,19,24,20,23,24,24,23,24,22,24,24,23,24,23,18,19,23,23,24,25,25,23,24,20,24,22,20,23,19,23,24,24,23,18,24,22,20,20,24,22,24,23
"53",113,113,109,109,115,111,96,110,112,142,114,113,114,115,111,110,107,105,113,112,143,113,111,143,116,114,111,115,91,112,136,107,138,115,112,108,109,91,110,110,111,113,110,116,113,111,112,104,113,114,115,116,109,112,115,113,109,112,118,112,94,115,142,141,113,113,114,113,114,115,144,111,109,115,113,112,114,111,117,109,108,112,115,91,107,115,115,109,113,106,138,106,139,142,117,109,114,115,116,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14,15,16,16,16,14,14,14,15,16,13,14,15,13,16,16,14,14,11,16,14,13,13,14,16,16,16,15,14,16,14,16,14,16,13,16,14,14,13,16,16,14,15,14,13,16,16,15,16,12,12,13,14,14,16,14,15,13,14,14,16,15,16,14,12,14,14,16,14,14,13,14,16,16,16,14,16,12,12,16,16,13,14,14,13,12,14,14,13,16,14,14,13,14,13,15,14
"56",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",18,20,20,20,20,20,18,20,20,20,18,20,18,20,18,18,20,20,20,18,18,20,20,18,20,20,20,20,18,20,20,18,20,20,18,20,20,20,20,18,20,18,18,20,20,20,20,20,20,20,20,18,20,20,20,20,20,20,18,18,18,20,18,20,20,18,18,18,20,20,18,20,18,18,18,20,20,20,20,20,18,20,18,18,18,20,20,20,20,20,18,18,18,20,18,20,18,20,18,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",44,44,41,43,44,44,44,44,43,44,43,43,45,43,45,44,44,43,44,44,45,42,43,44,45,42,45,43,43,43,44,45,44,45,44,43,41,44,44,43,44,45,43,44,45,43,44,44,44,44,44,44,44,45,44,41,44,44,43,44,43,43,44,45,45,45,44,45,42,44,44,44,42,43,43,44,43,44,44,44,44,41,44,42,43,44,42,43,44,44,43,42,42,43,42,43,44,43,43,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",46,41,41,44,43,42,42,42,42,44,42,44,41,39,42,42,42,45,43,40,41,40,44,42,43,41,42,42,41,41,44,42,41,42,41,40,42,41,44,42,41,48,43,43,43,41,41,43,43,42,42,41,40,41,42,44,39,41,40,42,41,44,42,41,42,42,41,41,42,42,41,39,42,42,42,42,42,40,41,40,41,40,42,40,43,40,41,41,42,41,41,42,43,43,41,41,42,40,44,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",99,99,97,100,99,98,99,98,98,104,97,97,97,98,97,98,96,100,100,98,97,98,100,100,98,95,101,99,97,98,97,100,99,100,100,99,101,99,96,99,97,99,97,101,97,98,98,100,102,104,97,100,97,98,98,100,98,100,98,98,102,99,100,100,99,99,98,101,93,95,101,99,98,98,98,99,97,99,101,98,99,98,98,101,98,100,97,97,101,100,97,100,98,101,99,100,99,101,97,101,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
